company_name,ticker_symbol,market_cap,url
Aon plc Class A Ordinary Shares (Ireland),AON,"64,890,117,415",https://www.nasdaq.com/market-activity/stocks/aon
Intercontinental Exchange Inc. Common Stock,ICE,"64,871,725,106",https://www.nasdaq.com/market-activity/stocks/ice
Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),ITUB,"63,824,921,115",https://www.nasdaq.com/market-activity/stocks/itub
"PayPal Holdings, Inc. Common Stock",PYPL,"63,545,584,803",https://www.nasdaq.com/market-activity/stocks/pypl
Colgate-Palmolive Company Common Stock,CL,"63,539,637,227",https://www.nasdaq.com/market-activity/stocks/cl
U.S. Bancorp Common Stock,USB,"62,950,011,575",https://www.nasdaq.com/market-activity/stocks/usb
Bank Of Montreal Common Stock,BMO,"62,884,906,114",https://www.nasdaq.com/market-activity/stocks/bmo
Snowflake Inc. Class A Common Stock,SNOW,"62,787,631,000",https://www.nasdaq.com/market-activity/stocks/snow
Target Corporation Common Stock,TGT,"62,412,058,742",https://www.nasdaq.com/market-activity/stocks/tgt
"Chipotle Mexican Grill, Inc. Common Stock",CMG,"61,557,000,147",https://www.nasdaq.com/market-activity/stocks/cmg
Marriott International Class A Common Stock,MAR,"61,498,968,271",https://www.nasdaq.com/market-activity/stocks/mar
McKesson Corporation Common Stock,MCK,"60,927,981,257",https://www.nasdaq.com/market-activity/stocks/mck
lululemon athletica inc. Common Stock,LULU,"59,454,675,568",https://www.nasdaq.com/market-activity/stocks/lulu
Humana Inc. Common Stock,HUM,"59,292,584,966",https://www.nasdaq.com/market-activity/stocks/hum
"British American Tobacco Industries, p.l.c. Common Stock ADR",BTI,"58,722,195,398",https://www.nasdaq.com/market-activity/stocks/bti
"Air Products and Chemicals, Inc. Common Stock",APD,"58,500,628,024",https://www.nasdaq.com/market-activity/stocks/apd
Southern Copper Corporation Common Stock,SCCO,"58,331,184,886",https://www.nasdaq.com/market-activity/stocks/scco
"CrowdStrike Holdings, Inc. Class A Common Stock",CRWD,"58,247,123,180",https://www.nasdaq.com/market-activity/stocks/crwd
"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",AMX,"58,005,700,000",https://www.nasdaq.com/market-activity/stocks/amx
ENI S.p.A. Common Stock,E,"57,679,530,845",https://www.nasdaq.com/market-activity/stocks/e
"Roper Technologies, Inc. Common Stock",ROP,"57,320,747,982",https://www.nasdaq.com/market-activity/stocks/rop
Enterprise Products Partners L.P. Common Stock,EPD,"57,185,574,149",https://www.nasdaq.com/market-activity/stocks/epd
3M Company Common Stock,MMM,"57,093,012,218",https://www.nasdaq.com/market-activity/stocks/mmm
Cintas Corporation Common Stock,CTAS,"56,358,939,113",https://www.nasdaq.com/market-activity/stocks/ctas
Parker-Hannifin Corporation Common Stock,PH,"56,353,350,681",https://www.nasdaq.com/market-activity/stocks/ph
Monster Beverage Corporation,MNST,"56,100,597,484",https://www.nasdaq.com/market-activity/stocks/mnst
"PNC Financial Services Group, Inc. (The) Common Stock",PNC,"56,034,643,944",https://www.nasdaq.com/market-activity/stocks/pnc
Brookfield Corporation Class A Limited Voting Shares,BN,"55,969,636,729",https://www.nasdaq.com/market-activity/stocks/bn
"O'Reilly Automotive, Inc. Common Stock",ORLY,"55,960,318,089",https://www.nasdaq.com/market-activity/stocks/orly
Amphenol Corporation Common Stock,APH,"55,780,462,836",https://www.nasdaq.com/market-activity/stocks/aph
NXP Semiconductors N.V. Common Stock,NXPI,"55,560,879,531",https://www.nasdaq.com/market-activity/stocks/nxpi
"Honda Motor Company, Ltd. Common Stock",HMC,"55,212,338,546",https://www.nasdaq.com/market-activity/stocks/hmc
Phillips 66 Common Stock,PSX,"55,135,232,659",https://www.nasdaq.com/market-activity/stocks/psx
Banco Bilbao Vizcaya Argentaria S.A. Common Stock,BBVA,"55,115,265,395",https://www.nasdaq.com/market-activity/stocks/bbva
Ecolab Inc. Common Stock,ECL,"54,781,062,218",https://www.nasdaq.com/market-activity/stocks/ecl
"Freeport-McMoRan, Inc. Common Stock",FCX,"54,706,231,859",https://www.nasdaq.com/market-activity/stocks/fcx
Transdigm Group Incorporated Common Stock,TDG,"54,424,653,208",https://www.nasdaq.com/market-activity/stocks/tdg
Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,BNS,"54,413,470,904",https://www.nasdaq.com/market-activity/stocks/bns
"ING Group, N.V. Common Stock",ING,"54,370,210,955",https://www.nasdaq.com/market-activity/stocks/ing
"Charter Communications, Inc. Class A Common Stock New",CHTR,"54,368,101,119",https://www.nasdaq.com/market-activity/stocks/chtr
Marathon Petroleum Corporation Common Stock,MPC,"54,304,304,557",https://www.nasdaq.com/market-activity/stocks/mpc
"Motorola Solutions, Inc. Common Stock",MSI,"53,860,093,077",https://www.nasdaq.com/market-activity/stocks/msi
Trane Technologies plc,TT,"53,248,334,724",https://www.nasdaq.com/market-activity/stocks/tt
"Prudential Financial, Inc. 4.125% Junior Subordinated Notes due 2060",PFH,"52,806,679,850",https://www.nasdaq.com/market-activity/stocks/pfh
"Apollo Global Management, Inc. (New) Common Stock",APO,"52,197,454,900",https://www.nasdaq.com/market-activity/stocks/apo
Pioneer Natural Resources Company Common Stock,PXD,"52,039,546,576",https://www.nasdaq.com/market-activity/stocks/pxd
Arthur J. Gallagher & Co. Common Stock,AJG,"52,023,264,000",https://www.nasdaq.com/market-activity/stocks/ajg
Emerson Electric Company Common Stock,EMR,"51,052,455,000",https://www.nasdaq.com/market-activity/stocks/emr
"Republic Services, Inc. Common Stock",RSG,"50,905,039,820",https://www.nasdaq.com/market-activity/stocks/rsg
Pacific Gas & Electric Co. Common Stock,PCG,"50,639,784,074",https://www.nasdaq.com/market-activity/stocks/pcg
Crown Castle Inc. Common Stock,CCI,"50,338,266,328",https://www.nasdaq.com/market-activity/stocks/cci
Norfolk Southern Corporation Common Stock,NSC,"49,976,129,814",https://www.nasdaq.com/market-activity/stocks/nsc
PACCAR Inc. Common Stock,PCAR,"49,890,973,810",https://www.nasdaq.com/market-activity/stocks/pcar
Occidental Petroleum Corporation Common Stock,OXY,"49,714,541,165",https://www.nasdaq.com/market-activity/stocks/oxy
Dell Technologies Inc. Class C Common Stock,DELL,"49,699,410,374",https://www.nasdaq.com/market-activity/stocks/dell
Atlassian Corporation Class A Common Stock,TEAM,"49,640,194,038",https://www.nasdaq.com/market-activity/stocks/team
WPP plc American Depositary Shares,WPP,"48,786,883,158",https://www.nasdaq.com/market-activity/stocks/wpp
AFLAC Incorporated Common Stock,AFL,"48,240,559,837",https://www.nasdaq.com/market-activity/stocks/afl
The AES Corporation Corporate Units,AESC,"48,219,986,810",https://www.nasdaq.com/market-activity/stocks/aesc
Public Storage Common Stock,PSA,"48,145,699,517",https://www.nasdaq.com/market-activity/stocks/psa
"Autodesk, Inc. Common Stock",ADSK,"47,919,171,953",https://www.nasdaq.com/market-activity/stocks/adsk
"Estee Lauder Companies, Inc. (The) Common Stock",EL,"47,854,824,882",https://www.nasdaq.com/market-activity/stocks/el
"MetLife, Inc. Common Stock",MET,"47,438,791,777",https://www.nasdaq.com/market-activity/stocks/met
Welltower Inc. Common Stock,WELL,"47,015,211,294",https://www.nasdaq.com/market-activity/stocks/well
Microchip Technology Incorporated Common Stock,MCHP,"46,573,179,252",https://www.nasdaq.com/market-activity/stocks/mchp
"Banco Santander Brasil SA American Depositary Shares, each representing one unit",BSBR,"46,550,661,060",https://www.nasdaq.com/market-activity/stocks/bsbr
